segment,reference,model,prediction,standard_wer_pct,lattice_wer_pct,wer_reduction_pct
ch_1726922_866.16_868.20.wav,वही अपना खेती बाड़ी और क्या,Model H,वही अपना खेती बाड़ी और क्या,0.0,0.0,0.0
ch_1726922_866.16_868.20.wav,वही अपना खेती बाड़ी और क्या,Model i,वही अपना खेती बाड़ी और क्या,16.67,0.0,16.67
ch_1726922_866.16_868.20.wav,वही अपना खेती बाड़ी और क्या,Model k,वही अपना खेती बाड़ी और क्या?,0.0,0.0,0.0
ch_1726922_866.16_868.20.wav,वही अपना खेती बाड़ी और क्या,Model l,वही अपना खेती बाड़ी और क्या,0.0,0.0,0.0
ch_1726922_866.16_868.20.wav,वही अपना खेती बाड़ी और क्या,Model m,वही अपना खेतीबाड़ी और क्या,33.33,16.67,16.67
ch_1726922_866.16_868.20.wav,वही अपना खेती बाड़ी और क्या,Model n,वही अपना खेती बाड़ी और क्या,0.0,0.0,0.0
ch_2052946_52.62_54.36.wav,मौनता का अर्थ क्या होता है,Model H,मौनता का अर्थ क्या होता है,0.0,0.0,0.0
ch_2052946_52.62_54.36.wav,मौनता का अर्थ क्या होता है,Model i,मौनता का अर्थ क्या होता है?,0.0,0.0,0.0
ch_2052946_52.62_54.36.wav,मौनता का अर्थ क्या होता है,Model k,मौन तागार थके होतई।,100.0,33.33,66.67
ch_2052946_52.62_54.36.wav,मौनता का अर्थ क्या होता है,Model l,मोनता का अर्थ है क्या होता है,33.33,16.67,16.67
ch_2052946_52.62_54.36.wav,मौनता का अर्थ क्या होता है,Model m,मोन ताका हर थक्या होताहए,100.0,16.67,83.33
ch_2052946_52.62_54.36.wav,मौनता का अर्थ क्या होता है,Model n,मौनता का हर थका होता है,33.33,0.0,33.33
ch_2054042_186.66_189.27.wav,और रक्षाबंधन पे चलो बहनों को,Model H,और रक्षाबंधन पे चलो बहनों को,0.0,0.0,0.0
ch_2054042_186.66_189.27.wav,और रक्षाबंधन पे चलो बहनों को,Model i,और रक्षाबंधन पे चलो बहनों को --,0.0,0.0,0.0
ch_2054042_186.66_189.27.wav,और रक्षाबंधन पे चलो बहनों को,Model k,और रक्षाबंधन पे चलो बहनों को?,0.0,0.0,0.0
ch_2054042_186.66_189.27.wav,और रक्षाबंधन पे चलो बहनों को,Model l,और रक्षाबंधन पे चलो बहनों को,0.0,0.0,0.0
